City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Faanui,PF,79.54,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Rikitea,PF,73.29,light rain,-23.1203,-134.9692,People ThankYou
8,Rapid Valley,US,72.52,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
10,Yanam,IN,87.98,few clouds,16.7333,82.2167,The Regency Hotel
15,Poum,NC,72.25,overcast clouds,-20.2333,164.0167,
21,Port Blair,IN,84.09,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
22,Carnarvon,AU,72.01,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
24,Nouadhibou,MR,71.83,clear sky,20.931,-17.0347,El Medina
25,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
30,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
33,Verkhoyansk,RU,86.99,few clouds,67.5447,133.385,
36,Saint George,US,81.19,thunderstorm,37.1041,-113.5841,Best Western Plus Abbey Inn
37,Acarau,BR,77.0,overcast clouds,-2.8856,-40.12,castelo pizzaria
40,Huilong,CN,87.93,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
43,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
45,Bengkulu,ID,84.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Umm Kaddadah,SD,79.66,overcast clouds,13.6017,26.6876,
47,Butaritari,KI,82.08,broken clouds,3.0707,172.7902,Isles Sunset Lodge
48,Ewa Beach,US,85.95,few clouds,21.3156,-158.0072,Base Lodging
49,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
51,Champerico,GT,75.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
52,Mayo,US,77.95,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
56,Bethel,US,79.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
58,Atuona,PF,76.89,light rain,-9.8,-139.0333,Villa Enata
