City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-07-23 22:10:02,-42.7826,147.0587,48.42,96,100,2.53
1,Methven,NZ,2022-07-23 22:10:03,-43.6333,171.65,37.02,94,100,1.01
2,Bethel,US,2022-07-23 22:10:03,41.3712,-73.414,95.54,46,0,6.91
3,Clyde River,CA,2022-07-23 22:10:03,70.4692,-68.5914,55.63,67,20,6.91
4,Gigmoto,PH,2022-07-23 22:10:04,13.7796,124.39,82.24,84,89,5.77
5,Cabo San Lucas,MX,2022-07-23 22:06:22,22.8909,-109.9124,81.09,71,91,4.63
6,Ozernovskiy,RU,2022-07-23 22:10:04,51.5,156.5167,55.87,86,57,2.33
7,Ziway,ET,2022-07-23 22:10:04,7.9333,38.7167,66.33,66,72,13.44
8,Leh,IN,2022-07-23 22:10:05,34.1667,77.5833,65.46,54,100,5.55
9,Menongue,AO,2022-07-23 22:10:05,-14.6585,17.691,54.95,44,49,2.91
10,Puerto Ayora,EC,2022-07-23 22:10:05,-0.7393,-90.3518,78.76,87,81,7.0
11,Port Hedland,AU,2022-07-23 22:10:06,-20.3167,118.5667,57.25,72,0,10.36
12,Duku,NG,2022-07-23 22:10:06,11.2361,4.9073,72.43,95,100,6.04
13,Banda Aceh,ID,2022-07-23 22:10:07,5.5577,95.3222,77.67,84,100,3.4
14,Hervey Bay,AU,2022-07-23 22:08:40,-25.2986,152.8535,59.52,83,12,14.14
15,San Juan,AR,2022-07-23 22:10:07,-31.5375,-68.5364,65.34,21,0,9.66
16,Ushuaia,AR,2022-07-23 22:10:07,-54.8,-68.3,33.46,86,100,18.41
17,Maine-Soroa,NE,2022-07-23 22:10:08,13.2114,12.0241,85.35,50,49,5.97
18,Varkkallai,IN,2022-07-23 22:10:08,8.7341,76.7067,78.58,91,99,9.26
19,Huangchuan,CN,2022-07-23 22:07:12,32.1272,115.0394,70.68,85,0,4.05
20,Rikitea,PF,2022-07-23 22:10:09,-23.1203,-134.9692,72.59,63,0,6.82
21,Te Anau,NZ,2022-07-23 22:08:37,-45.4167,167.7167,39.79,92,62,1.1
22,Aklavik,CA,2022-07-23 22:10:09,68.2191,-135.0107,53.6,94,100,4.61
23,East London,ZA,2022-07-23 22:08:23,-33.0153,27.9116,58.28,65,77,18.45
24,Airai,TL,2022-07-23 22:06:20,-8.9266,125.4092,50.58,85,70,2.21
25,Punta Arenas,CL,2022-07-23 22:10:10,-53.15,-70.9167,35.47,68,78,11.74
26,General Roca,AR,2022-07-23 22:10:10,-39.0333,-67.5833,52.63,53,100,7.81
27,Sao Sebastiao,BR,2022-07-23 22:10:11,-23.76,-45.4097,67.46,80,46,4.59
28,Qaanaaq,GL,2022-07-23 22:10:11,77.484,-69.3632,37.58,99,100,0.78
29,Kodiak,US,2022-07-23 22:10:11,57.79,-152.4072,53.11,87,100,14.97
30,Saint-Philippe,RE,2022-07-23 22:10:12,-21.3585,55.7679,69.39,84,55,12.15
31,Albany,US,2022-07-23 22:09:54,42.6001,-73.9662,94.03,41,22,6.38
32,Sitka,US,2022-07-23 22:05:37,57.0531,-135.33,55.85,95,100,4.65
33,Souillac,MU,2022-07-23 22:10:12,-20.5167,57.5167,68.38,83,40,8.05
34,Whitehorse,CA,2022-07-23 22:10:13,60.7161,-135.0538,62.31,33,98,11.99
35,Kapaa,US,2022-07-23 22:10:13,22.0752,-159.319,78.71,69,13,13.91
36,Jeremie,HT,2022-07-23 22:10:13,18.65,-74.1167,83.55,70,76,2.42
37,Yellowknife,CA,2022-07-23 22:06:57,62.456,-114.3525,69.57,40,19,18.99
38,Shingu,JP,2022-07-23 22:10:14,33.7333,135.9833,77.45,70,72,2.06
39,Hofn,IS,2022-07-23 22:10:14,64.2539,-15.2082,53.22,82,73,2.35
40,Butaritari,KI,2022-07-23 22:10:15,3.0707,172.7902,81.36,79,23,15.39
41,Bluff,NZ,2022-07-23 22:10:15,-46.6,168.3333,40.28,83,50,5.55
42,Ponta Do Sol,PT,2022-07-23 22:10:15,32.6667,-17.1,74.62,71,2,3.74
43,Road Town,VG,2022-07-23 22:10:16,18.4167,-64.6167,82.49,76,2,19.04
44,Talara,PE,2022-07-23 22:10:16,-4.5772,-81.2719,66.83,81,8,15.14
45,Vaini,TO,2022-07-23 22:10:16,-21.2,-175.2,75.36,73,20,11.5
46,Brokopondo,SR,2022-07-23 22:10:17,4.75,-55.1667,78.39,84,91,7.36
47,Thinadhoo,MV,2022-07-23 22:10:17,0.5333,72.9333,81.68,73,100,7.2
48,Zimmi,SL,2022-07-23 22:11:17,7.3153,-11.3061,72.43,94,100,3.2
49,Diamantino,BR,2022-07-23 22:11:18,-14.4086,-56.4461,83.28,31,24,5.57
50,Shitanjing,CN,2022-07-23 22:11:18,39.2342,106.3439,73.22,34,0,7.65
51,Payo,ID,2022-07-23 22:11:18,-3.7508,103.6372,71.19,99,99,1.92
52,Ihosy,MG,2022-07-23 22:11:19,-22.4,46.1167,57.67,94,49,4.9
53,Korla,CN,2022-07-23 22:11:19,41.7597,86.1469,85.62,16,0,5.75
54,Narsaq,GL,2022-07-23 22:11:19,60.9167,-46.05,55.62,81,99,5.41
55,Hof,DE,2022-07-23 22:11:20,50.3167,11.9167,57.76,74,54,2.37
56,Olinda,BR,2022-07-23 22:11:20,-8.0089,-34.8553,76.73,73,40,14.97
57,Rosetta,EG,2022-07-23 22:11:20,31.4044,30.4164,76.89,82,0,9.51
58,Cherskiy,RU,2022-07-23 22:11:21,68.75,161.3,59.4,44,14,1.39
59,Adrar,MR,2022-07-23 22:11:21,20.5022,-10.0711,95.79,27,91,10.22
60,Quevedo,EC,2022-07-23 22:08:19,-1.0333,-79.45,78.8,73,95,2.77
61,Mount Isa,AU,2022-07-23 22:11:22,-20.7333,139.5,44.37,76,0,4.61
62,Georgetown,MY,2022-07-23 22:06:32,5.4112,100.3354,77.11,88,100,5.95
63,Marsabit,KE,2022-07-23 22:11:22,2.3284,37.9899,63.75,58,50,23.69
64,Assiniboia,CA,2022-07-23 22:11:23,49.6334,-105.9845,71.69,38,49,15.19
65,Cidreira,BR,2022-07-23 22:11:23,-30.1811,-50.2056,62.04,98,52,9.35
66,Coolum Beach,AU,2022-07-23 22:08:07,-26.5333,153.1,60.12,83,31,11.27
67,Hilo,US,2022-07-23 22:11:24,19.7297,-155.09,88.29,93,100,6.91
68,Hermanus,ZA,2022-07-23 22:08:26,-34.4187,19.2345,52.92,70,58,4.88
69,Mataura,NZ,2022-07-23 22:11:24,-46.1927,168.8643,36.48,77,92,1.68
70,Victoria,HK,2022-07-23 22:06:24,22.2855,114.1577,88.32,82,38,4.0
71,North Bend,US,2022-07-23 22:11:25,43.4065,-124.2243,75.92,76,0,24.16
72,Nanortalik,GL,2022-07-23 22:11:25,60.1432,-45.2371,43.54,92,95,10.74
73,Srivardhan,IN,2022-07-23 22:11:25,18.0333,73.0167,78.22,87,100,7.99
74,Norman Wells,CA,2022-07-23 22:11:26,65.282,-126.8329,63.86,65,100,6.2
75,Port Elizabeth,ZA,2022-07-23 22:11:26,-33.918,25.5701,54.32,89,30,8.01
76,Tyup,KG,2022-07-23 22:11:26,42.7276,78.3648,65.41,42,0,5.75
77,Beisfjord,NO,2022-07-23 22:11:27,68.3751,17.5988,50.05,96,78,2.82
78,Ubinskoye,RU,2022-07-23 22:11:27,55.3068,79.6802,51.91,98,86,7.18
79,Atuona,PF,2022-07-23 22:11:27,-9.8,-139.0333,77.5,76,33,18.1
80,Bang Saphan,TH,2022-07-23 22:11:28,11.2126,99.5117,75.4,92,100,2.95
81,Bredasdorp,ZA,2022-07-23 22:11:28,-34.5322,20.0403,47.46,78,20,3.53
82,Yeppoon,AU,2022-07-23 22:11:29,-23.1333,150.7333,55.18,78,0,7.2
83,Cape Town,ZA,2022-07-23 22:11:29,-33.9258,18.4232,54.46,65,4,13.42
84,Castro,BR,2022-07-23 22:09:21,-24.7911,-50.0119,60.06,66,100,2.68
85,Provideniya,RU,2022-07-23 22:11:30,64.3833,-173.3,46.67,74,95,7.58
86,Alofi,NU,2022-07-23 22:11:30,-19.0595,-169.9187,74.41,70,88,20.24
87,Kaitangata,NZ,2022-07-23 22:11:30,-46.2817,169.8464,37.51,77,48,2.89
88,Saskylakh,RU,2022-07-23 22:11:31,71.9167,114.0833,53.94,80,56,3.51
89,Igrim,RU,2022-07-23 22:11:31,63.1906,64.4162,47.57,76,40,4.76
90,Springfield,US,2022-07-23 22:07:39,37.2153,-93.2982,100.92,31,20,10.36
91,Gat,IL,2022-07-23 22:11:01,31.61,34.7642,79.48,100,0,1.99
92,Vao,NC,2022-07-23 22:12:32,-22.6667,167.4833,73.65,87,85,17.72
93,Mahebourg,MU,2022-07-23 22:12:32,-20.4081,57.7,69.26,83,40,8.05
94,Colares,PT,2022-07-23 22:12:32,38.7992,-9.4469,72.59,61,0,10.36
95,Hobart,AU,2022-07-23 22:10:15,-42.8794,147.3294,49.26,92,100,4.61
96,Severo-Kurilsk,RU,2022-07-23 22:08:58,50.6789,156.125,56.16,89,47,3.47
97,Tuktoyaktuk,CA,2022-07-23 22:12:33,69.4541,-133.0374,40.3,94,100,16.24
98,Caravelas,BR,2022-07-23 22:12:33,-17.7125,-39.2481,70.65,76,0,6.64
99,Sao Filipe,CV,2022-07-23 22:12:34,14.8961,-24.4956,77.54,85,100,4.97
100,Virginia Beach,US,2022-07-23 22:12:21,36.8529,-75.978,84.87,68,77,14.18
101,Avarua,CK,2022-07-23 22:11:28,-21.2078,-159.775,73.45,73,40,10.36
102,Hede,CN,2022-07-23 22:12:34,33.7681,120.2517,71.94,94,2,4.25
103,Fortuna,US,2022-07-23 22:12:34,40.5982,-124.1573,69.1,71,22,4.0
104,Camopi,GF,2022-07-23 22:12:35,3.1655,-52.3158,73.42,97,98,3.02
105,Petrokhorion,GR,2022-07-23 22:12:35,41.1167,24.8333,75.43,47,1,4.61
106,Namibe,AO,2022-07-23 22:12:36,-15.1961,12.1522,63.54,89,45,1.39
107,Sunrise Manor,US,2022-07-23 22:12:36,36.2111,-115.0731,104.86,15,0,17.27
108,Isla Mujeres,MX,2022-07-23 22:12:36,21.2311,-86.731,87.85,71,100,10.58
109,Hemsedal,NO,2022-07-23 22:12:37,60.8629,8.5534,51.12,92,80,1.19
110,Lebu,CL,2022-07-23 22:11:57,-37.6167,-73.65,52.03,93,100,4.99
111,Los Llanos De Aridane,ES,2022-07-23 22:12:37,28.6585,-17.9182,69.55,88,100,9.22
112,Marawi,PH,2022-07-23 22:12:38,7.9986,124.2928,68.81,92,90,2.86
113,Longyearbyen,SJ,2022-07-23 22:12:38,78.2186,15.6401,48.04,87,75,6.91
114,Tazmalt,DZ,2022-07-23 22:12:38,36.3868,4.3989,81.39,34,0,3.83
115,Barcelona,ES,2022-07-23 22:07:58,41.3888,2.159,82.62,87,20,5.75
116,Iberia,US,2022-07-23 22:12:39,29.9502,-91.7507,88.99,66,0,8.05
117,Port Alfred,ZA,2022-07-23 22:12:39,-33.5906,26.891,56.68,71,94,22.06
118,Thompson,CA,2022-07-23 22:12:40,55.7435,-97.8558,64.85,40,100,8.52
119,San Javier,ES,2022-07-23 22:12:40,37.8063,-0.8374,81.57,82,0,3.44
120,Luderitz,NA,2022-07-23 22:11:05,-26.6481,15.1594,58.82,65,0,21.72
121,Lorengau,PG,2022-07-23 22:12:41,-2.0226,147.2712,82.85,77,17,7.78
122,Bambous Virieux,MU,2022-07-23 22:12:41,-20.3428,57.7575,69.76,74,50,15.52
123,Pevek,RU,2022-07-23 22:12:41,69.7008,170.3133,36.1,83,96,3.22
124,Mirabad,AF,2022-07-23 22:11:12,30.4362,61.8383,93.76,22,79,17.87
125,Antalaha,MG,2022-07-23 22:12:42,-14.9003,50.2788,68.2,80,59,6.62
126,San Cristobal,VE,2022-07-23 22:09:47,7.7669,-72.225,78.98,48,14,3.76
127,Silver City,US,2022-07-23 22:12:43,32.7701,-108.2803,90.91,29,0,8.05
128,Kudahuvadhoo,MV,2022-07-23 22:12:43,2.6708,72.8944,82.51,73,100,11.36
129,Gweta,BW,2022-07-23 22:12:43,-20.1833,25.2333,67.73,34,83,6.08
130,Margate,GB,2022-07-23 22:12:44,51.3813,1.3862,65.3,73,98,4.0
131,Suleja,NG,2022-07-23 22:12:44,9.1758,7.1808,69.35,95,100,3.0
132,Shibetsu,JP,2022-07-23 22:13:45,43.659,145.132,62.44,92,74,7.45
133,Tungor,RU,2022-07-23 22:13:45,53.3808,142.9564,60.96,75,36,10.56
134,Westlock,CA,2022-07-23 22:13:45,54.1502,-113.8688,75.11,62,36,6.17
135,Eureka,US,2022-07-23 22:13:46,40.8021,-124.1637,69.37,73,35,7.0
136,Shelburne,CA,2022-07-23 22:13:46,44.0787,-80.2041,85.12,43,48,9.37
137,Surt,LY,2022-07-23 22:13:46,31.2089,16.5887,80.4,71,0,10.11
138,Sisimiut,GL,2022-07-23 22:13:47,66.9395,-53.6735,45.46,86,100,4.09
139,Beyneu,KZ,2022-07-23 22:13:12,45.3167,55.2,77.76,51,72,14.45
140,Nikolskoye,RU,2022-07-23 22:13:47,59.7035,30.7861,62.83,98,52,3.67
141,Busselton,AU,2022-07-23 22:13:48,-33.65,115.3333,51.24,68,84,13.02
142,Paragould,US,2022-07-23 22:13:48,36.0584,-90.4973,96.1,54,0,1.01
143,Dunedin,NZ,2022-07-23 22:13:48,-45.8742,170.5036,46.8,63,3,10.0
144,Jamestown,US,2022-07-23 22:13:20,42.097,-79.2353,80.02,80,75,3.0
145,Verkhnevilyuysk,RU,2022-07-23 22:12:12,63.4453,120.3167,65.53,77,3,5.37
146,Port Blair,IN,2022-07-23 22:09:04,11.6667,92.75,78.84,89,75,2.3
147,Luwuk,ID,2022-07-23 22:13:49,-0.9516,122.7875,76.24,90,63,4.43
148,Rudbar,AF,2022-07-23 22:13:49,30.15,62.6,92.34,33,72,11.74
149,Poum,NC,2022-07-23 22:13:50,-20.2333,164.0167,74.93,73,79,8.7
150,Soyo,AO,2022-07-23 22:13:50,-6.1349,12.3689,70.07,90,42,4.5
151,Zhuhai,CN,2022-07-23 22:13:50,22.2769,113.5678,86.86,84,20,3.44
152,Peleduy,RU,2022-07-23 22:13:51,59.6289,112.7406,73.72,73,5,1.5
153,Khatanga,RU,2022-07-23 22:13:51,71.9667,102.5,52.65,81,10,13.56
154,Ohaeawai,NZ,2022-07-23 22:13:51,-35.3509,173.8822,55.81,90,100,11.01
155,Lompoc,US,2022-07-23 22:11:12,34.6391,-120.4579,72.84,70,0,21.99
156,Lielvarde,LV,2022-07-23 22:13:52,56.7207,24.8074,60.94,82,56,4.97
157,Rio Gallegos,AR,2022-07-23 22:11:30,-51.6226,-69.2181,28.45,93,0,11.5
158,Ocampo,MX,2022-07-23 22:13:52,21.65,-101.5,71.62,36,87,1.66
159,Garden City,US,2022-07-23 22:11:13,42.3256,-83.331,92.64,46,20,5.75
160,Barrow,US,2022-07-23 22:13:53,71.2906,-156.7887,37.42,87,100,11.5
161,Taoudenni,ML,2022-07-23 22:13:53,22.6783,-3.9836,100.92,8,0,12.41
162,Ahipara,NZ,2022-07-23 22:13:54,-35.1667,173.1667,55.99,89,100,17.74
163,Nara,JP,2022-07-23 22:13:54,34.6851,135.8049,75.51,70,97,1.16
164,Hohhot,CN,2022-07-23 22:13:54,40.8106,111.6522,66.31,49,45,4.83
165,Barcelos,PT,2022-07-23 22:13:55,41.5388,-8.6151,68.85,84,0,1.83
166,Berezovyy,RU,2022-07-23 22:13:55,51.6667,135.7,67.69,73,8,1.39
167,Iracoubo,GF,2022-07-23 22:13:55,5.4802,-53.2011,79.34,83,100,7.99
168,Talnakh,RU,2022-07-23 22:13:56,69.4865,88.3972,65.21,60,81,4.7
169,Carnarvon,AU,2022-07-23 22:13:56,-24.8667,113.6333,63.63,62,57,17.34
170,Mogadishu,SO,2022-07-23 22:13:56,2.0371,45.3438,75.96,82,75,19.44
171,Jinchang,CN,2022-07-23 22:13:57,38.4953,102.1739,73.56,27,39,8.72
172,Kisangani,CD,2022-07-23 22:13:57,0.5167,25.2,70.52,96,100,2.64
173,Belyy Yar,RU,2022-07-23 22:13:57,53.6039,91.3903,53.49,96,0,4.47
174,Kidal,ML,2022-07-23 22:13:58,18.4411,1.4078,91.85,29,83,6.38
175,Teguldet,RU,2022-07-23 22:13:58,57.3064,88.1667,49.6,93,74,4.99
176,Japura,ID,2022-07-23 22:13:58,-0.3167,102.35,73.04,99,100,0.81
177,Huntsville,US,2022-07-23 22:10:21,34.7304,-86.5861,96.67,55,0,8.99
178,Asau,RO,2022-07-23 22:09:12,46.4333,26.4,73.65,49,52,2.89
179,Baiyin,CN,2022-07-23 22:14:59,36.5583,104.2081,68.31,61,1,2.93
180,Tasiilaq,GL,2022-07-23 22:14:59,65.6145,-37.6368,39.36,82,100,5.88
181,Torbay,CA,2022-07-23 22:15:00,47.6666,-52.7314,79.57,69,20,11.5
182,Kalianget,ID,2022-07-23 22:15:00,-7.05,113.9333,77.9,80,99,8.21
183,Port Moresby,PG,2022-07-23 22:11:07,-9.4431,147.1797,77.31,85,63,7.74
184,Alghero,IT,2022-07-23 22:15:01,40.5589,8.3181,77.09,83,0,1.14
185,Mineral Wells,US,2022-07-23 22:15:01,32.8085,-98.1128,102.76,26,20,12.66
186,Pandaria,IN,2022-07-23 22:15:01,22.2333,81.4167,76.84,90,100,2.77
187,Chokurdakh,RU,2022-07-23 22:14:04,70.6333,147.9167,56.21,47,89,12.3
188,Esperance,AU,2022-07-23 22:15:02,-33.8667,121.9,49.84,67,100,24.27
189,Awbari,LY,2022-07-23 22:15:02,26.5921,12.7805,84.65,21,0,7.92
190,Vanimo,PG,2022-07-23 22:15:03,-2.6741,141.3028,78.33,90,72,4.12
191,Peniche,PT,2022-07-23 22:15:03,39.3558,-9.3811,67.28,91,0,11.16
192,Saint-Leu,RE,2022-07-23 22:15:03,-21.15,55.2833,69.64,72,32,3.42
193,Nizhniy Tsasuchey,RU,2022-07-23 22:15:04,50.5167,115.1333,63.7,78,100,7.16
194,Dikson,RU,2022-07-23 22:15:04,73.5069,80.5464,48.76,79,78,11.07
195,Fonte Boa,BR,2022-07-23 22:15:04,-2.4959,-66.2662,76.03,96,100,0.45
196,Isangel,VU,2022-07-23 22:15:05,-19.55,169.2667,79.27,78,9,13.15
197,Schwedt,DE,2022-07-23 22:15:05,53.0596,14.2815,60.03,79,18,6.24
198,Arlit,NE,2022-07-23 22:15:06,18.7369,7.3853,94.14,26,92,9.98
199,Arraial Do Cabo,BR,2022-07-23 22:12:03,-22.9661,-42.0278,72.05,87,4,21.16
200,Adamovka,RU,2022-07-23 22:15:06,51.5223,59.9396,66.52,56,16,9.24
201,Asyut,EG,2022-07-23 22:15:06,27.181,31.1837,87.31,23,5,14.43
202,Benjamin Constant,BR,2022-07-23 22:15:07,-4.3831,-70.0311,78.93,83,40,9.22
203,Natal,BR,2022-07-23 22:15:07,-5.795,-35.2094,80.82,74,75,13.8
204,Saint Anthony,US,2022-07-23 22:15:08,45.0205,-93.218,78.1,78,20,20.71
205,Palmer,US,2022-07-23 22:11:07,42.1584,-72.3287,95.5,38,20,11.5
