City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,2022-07-29 03:21:28,-34.5322,20.0403,55.74,62,27,11.68,scattered clouds
1,Yellowknife,CA,2022-07-29 03:21:28,62.456,-114.3525,64.92,48,75,14.97,broken clouds
2,Faanui,PF,2022-07-29 03:21:28,-16.4833,-151.75,79.54,73,4,22.1,clear sky
3,Mar Del Plata,AR,2022-07-29 03:21:29,-38.0023,-57.5575,47.08,82,100,10.36,mist
4,Lavrentiya,RU,2022-07-29 03:21:29,65.5833,-171.0,46.17,86,99,5.3,overcast clouds
5,Liverpool,GB,2022-07-29 03:18:45,53.4106,-2.9779,62.15,86,20,6.91,few clouds
6,Kaitangata,NZ,2022-07-29 03:21:30,-46.2817,169.8464,48.0,71,97,8.01,overcast clouds
7,Rikitea,PF,2022-07-29 03:21:30,-23.1203,-134.9692,73.29,74,9,20.67,light rain
8,Rapid Valley,US,2022-07-29 03:21:30,44.0625,-103.1463,72.52,44,0,5.99,clear sky
9,Ushuaia,AR,2022-07-29 03:21:31,-54.8,-68.3,40.66,81,75,9.22,light rain
10,Yanam,IN,2022-07-29 03:21:31,16.7333,82.2167,87.98,62,15,1.92,few clouds
11,Yazykovo,RU,2022-07-29 03:21:31,55.2199,56.1353,60.73,75,98,5.77,overcast clouds
12,Longyearbyen,SJ,2022-07-29 03:21:32,78.2186,15.6401,42.64,87,75,3.44,broken clouds
13,Osa,RU,2022-07-29 03:21:32,57.2829,55.4567,63.32,70,84,3.38,broken clouds
14,Kodiak,US,2022-07-29 03:21:32,57.79,-152.4072,62.11,59,0,4.61,clear sky
15,Poum,NC,2022-07-29 03:21:33,-20.2333,164.0167,72.25,72,98,7.0,overcast clouds
16,Cherskiy,RU,2022-07-29 03:21:33,68.75,161.3,63.45,33,72,5.55,broken clouds
17,Inhambane,MZ,2022-07-29 03:21:33,-23.865,35.3833,59.79,84,7,5.99,clear sky
18,Saskylakh,RU,2022-07-29 03:21:34,71.9167,114.0833,62.46,81,100,4.61,overcast clouds
19,Wegrow,PL,2022-07-29 03:21:34,52.3995,22.0163,52.92,89,58,5.39,broken clouds
20,Port Lincoln,AU,2022-07-29 03:21:34,-34.7333,135.8667,57.31,66,94,15.46,overcast clouds
21,Port Blair,IN,2022-07-29 03:19:50,11.6667,92.75,84.09,74,30,6.49,scattered clouds
22,Carnarvon,AU,2022-07-29 03:21:35,-24.8667,113.6333,72.01,61,100,4.94,overcast clouds
23,Plast,RU,2022-07-29 03:21:35,54.3691,60.8136,57.76,87,99,12.64,overcast clouds
24,Nouadhibou,MR,2022-07-29 03:21:36,20.931,-17.0347,71.83,80,5,19.26,clear sky
25,Avarua,CK,2022-07-29 03:20:07,-21.2078,-159.775,77.05,78,40,19.57,scattered clouds
26,Cape Town,ZA,2022-07-29 03:21:36,-33.9258,18.4232,57.88,84,40,24.16,scattered clouds
27,Poole,GB,2022-07-29 03:21:36,50.7167,-2.0,62.01,85,55,5.86,broken clouds
28,Ixtapa,MX,2022-07-29 03:21:37,20.7,-105.2,85.23,70,75,6.91,broken clouds
29,Hermanus,ZA,2022-07-29 03:21:37,-34.4187,19.2345,60.8,75,87,22.15,overcast clouds
30,Kloulklubed,PW,2022-07-29 03:21:38,7.0419,134.2556,86.5,74,100,9.8,overcast clouds
31,Busselton,AU,2022-07-29 03:21:38,-33.65,115.3333,60.66,61,90,21.99,overcast clouds
32,Raudeberg,NO,2022-07-29 03:21:38,61.9875,5.1352,50.95,77,100,7.58,overcast clouds
33,Verkhoyansk,RU,2022-07-29 03:21:39,67.5447,133.385,86.99,34,18,2.86,few clouds
34,Tiksi,RU,2022-07-29 03:21:39,71.6872,128.8694,52.2,80,100,7.9,overcast clouds
35,Punta Arenas,CL,2022-07-29 03:18:22,-53.15,-70.9167,39.31,87,20,26.46,few clouds
36,Saint George,US,2022-07-29 03:21:39,37.1041,-113.5841,81.19,67,40,8.05,thunderstorm
37,Acarau,BR,2022-07-29 03:21:40,-2.8856,-40.12,77.0,85,92,10.78,overcast clouds
38,Pangnirtung,CA,2022-07-29 03:21:40,66.1451,-65.7125,49.14,77,85,1.12,overcast clouds
39,Esperance,AU,2022-07-29 03:21:40,-33.8667,121.9,66.02,69,95,14.83,overcast clouds
40,Huilong,CN,2022-07-29 03:21:41,31.8111,121.655,87.93,70,40,13.85,scattered clouds
41,Qaanaaq,GL,2022-07-29 03:21:41,77.484,-69.3632,37.98,76,59,3.04,broken clouds
42,Thompson,CA,2022-07-29 03:21:41,55.7435,-97.8558,62.76,72,40,0.0,scattered clouds
43,Georgetown,MY,2022-07-29 03:18:21,5.4112,100.3354,87.89,75,20,8.05,few clouds
44,Leh,IN,2022-07-29 03:21:42,34.1667,77.5833,59.14,70,98,1.61,overcast clouds
45,Bengkulu,ID,2022-07-29 03:21:42,-3.8004,102.2655,84.0,66,78,5.01,broken clouds
46,Umm Kaddadah,SD,2022-07-29 03:22:43,13.6017,26.6876,79.66,62,100,10.16,overcast clouds
47,Butaritari,KI,2022-07-29 03:22:43,3.0707,172.7902,82.08,73,58,14.52,broken clouds
48,Ewa Beach,US,2022-07-29 03:22:43,21.3156,-158.0072,85.95,55,20,11.5,few clouds
49,Bathsheba,BB,2022-07-29 03:22:44,13.2167,-59.5167,81.21,85,40,18.41,scattered clouds
50,Tasiilaq,GL,2022-07-29 03:22:44,65.6145,-37.6368,41.16,95,100,3.31,overcast clouds
51,Champerico,GT,2022-07-29 03:22:44,14.3,-91.9167,75.76,96,100,9.01,overcast clouds
52,Mayo,US,2022-07-29 03:22:45,38.8876,-76.5119,77.95,90,100,1.01,overcast clouds
53,Lujan,AR,2022-07-29 03:22:45,-34.5703,-59.105,47.91,78,0,1.99,clear sky
54,Constitucion,CL,2022-07-29 03:19:14,-35.3333,-72.4167,48.31,79,0,8.9,clear sky
55,Los Llanos De Aridane,ES,2022-07-29 03:22:45,28.6585,-17.9182,66.13,92,100,20.71,overcast clouds
56,Bethel,US,2022-07-29 03:22:46,41.3712,-73.414,79.16,92,0,0.0,clear sky
57,Matagami,CA,2022-07-29 03:22:46,49.7502,-77.6328,59.11,94,100,4.61,moderate rain
58,Atuona,PF,2022-07-29 03:22:46,-9.8,-139.0333,76.89,78,33,22.77,light rain
59,Port Elizabeth,ZA,2022-07-29 03:22:47,-33.918,25.5701,60.31,74,0,6.91,clear sky
60,Cabo San Lucas,MX,2022-07-29 03:19:59,22.8909,-109.9124,88.9,60,11,5.01,few clouds
61,Bilma,NE,2022-07-29 03:22:47,18.6853,12.9164,83.61,49,85,9.1,overcast clouds
62,Heihe,CN,2022-07-29 03:22:48,50.2441,127.4902,73.98,96,100,4.52,moderate rain
63,Srednekolymsk,RU,2022-07-29 03:22:48,67.45,153.6833,68.36,29,5,10.02,clear sky
64,Severo-Kurilsk,RU,2022-07-29 03:22:48,50.6789,156.125,55.42,89,100,9.86,overcast clouds
65,Albany,US,2022-07-29 03:22:49,42.6001,-73.9662,72.3,86,4,3.53,clear sky
66,Skibbereen,IE,2022-07-29 03:22:49,51.55,-9.2667,62.11,93,100,4.5,overcast clouds
67,New Norfolk,AU,2022-07-29 03:22:49,-42.7826,147.0587,49.5,70,71,3.0,broken clouds
68,Kungurtug,RU,2022-07-29 03:22:50,50.5994,97.5228,61.2,54,67,2.3,broken clouds
69,Shizukuishi,JP,2022-07-29 03:22:50,39.6833,140.9833,83.17,55,98,3.15,overcast clouds
70,Narsaq,GL,2022-07-29 03:22:50,60.9167,-46.05,46.62,67,69,1.48,broken clouds
71,Sosnovo-Ozerskoye,RU,2022-07-29 03:22:51,52.5249,111.5418,66.52,50,99,6.89,overcast clouds
72,Chokurdakh,RU,2022-07-29 03:22:51,70.6333,147.9167,62.69,29,98,15.1,overcast clouds
73,Okha,RU,2022-07-29 03:22:51,53.5739,142.9478,67.77,70,8,9.55,clear sky
74,Taltal,CL,2022-07-29 03:18:10,-25.4,-70.4833,57.65,79,87,1.68,overcast clouds
75,Vaini,TO,2022-07-29 03:22:52,-21.2,-175.2,80.76,83,20,11.5,few clouds
76,Praia Da Vitoria,PT,2022-07-29 03:22:52,38.7333,-27.0667,71.85,83,20,3.96,few clouds
77,Sao Gabriel Da Cachoeira,BR,2022-07-29 03:22:53,-0.1303,-67.0892,71.44,99,79,2.89,broken clouds
78,Mataura,NZ,2022-07-29 03:22:53,-46.1927,168.8643,47.48,77,94,5.01,overcast clouds
79,Acapulco,MX,2022-07-29 03:22:53,16.8634,-99.8901,82.22,74,20,0.0,few clouds
80,Kruisfontein,ZA,2022-07-29 03:22:54,-34.0033,24.7314,57.22,36,0,8.9,clear sky
81,Caravelas,BR,2022-07-29 03:22:54,-17.7125,-39.2481,68.11,84,34,6.29,scattered clouds
82,Belaya Gora,RU,2022-07-29 03:22:55,68.5333,146.4167,66.16,30,93,12.53,overcast clouds
83,Nikolskoye,RU,2022-07-29 03:22:55,59.7035,30.7861,57.79,95,20,3.47,few clouds
84,Collie,AU,2022-07-29 03:22:55,-33.3667,116.15,57.38,66,84,11.27,broken clouds
85,Ilulissat,GL,2022-07-29 03:22:56,69.2167,-51.1,50.02,46,95,16.11,overcast clouds
86,Bo Phloi,TH,2022-07-29 03:22:56,14.3236,99.5161,89.02,58,54,4.76,broken clouds
87,Jamestown,US,2022-07-29 03:20:52,42.097,-79.2353,72.99,64,0,8.99,clear sky
88,Vila Franca Do Campo,PT,2022-07-29 03:22:56,37.7167,-25.4333,72.01,91,15,4.65,few clouds
89,Souillac,MU,2022-07-29 03:22:57,-20.5167,57.5167,70.18,64,40,8.05,scattered clouds
90,Vyazma,RU,2022-07-29 03:22:57,55.2104,34.2951,51.85,88,0,5.48,clear sky
91,Waipawa,NZ,2022-07-29 03:22:57,-41.4122,175.5153,53.22,63,2,15.68,clear sky
92,Lacaron,PH,2022-07-29 03:23:58,6.4489,125.5792,85.33,69,100,2.98,overcast clouds
93,Wajid,SO,2022-07-29 03:23:58,3.8093,43.2471,68.41,78,10,13.47,clear sky
94,Port Alfred,ZA,2022-07-29 03:23:59,-33.5906,26.891,62.19,67,0,4.0,clear sky
95,Kashi,CN,2022-07-29 03:23:59,39.4547,75.9797,90.61,15,40,8.95,scattered clouds
96,Opole,PL,2022-07-29 03:23:59,50.5,18.0,63.39,65,29,3.22,scattered clouds
97,Khasan,RU,2022-07-29 03:23:59,42.4308,130.6434,74.55,88,100,10.45,overcast clouds
98,Tuktoyaktuk,CA,2022-07-29 03:24:00,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds
